id,name,url,category,link_type,submit_method,status,result_url,timestamp,notes
26,Tesla Model 3 Highland vs Refresh vs Original: Which Generation Wins?,https://telegra.ph/,telegraph,dofollow,auto_telegraph,skipped,,2026-03-08T20:51:48.193839,已完成，跳过
27,"Best Tesla for Every Lifestyle: Commuters, Families, Road Trippers, and Speed Enthusiasts",https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Best-Tesla-for-Every-Lifestyle-Commuters-Families-Road-Trippers-and-Speed-Enthusiasts-03-09,2026-03-08T20:51:52.025600,https://telegra.ph/Best-Tesla-for-Every-Lifestyle-Commuters-Families-Road-Trippers-and-Speed-Enthusiasts-03-09
28,Tesla Model 3 Highland vs Model Y Juniper: The 2025 Buyer's Dilemma,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Tesla-Model-3-Highland-vs-Model-Y-Juniper-The-2025-Buyers-Dilemma-03-09,2026-03-08T20:51:55.698761,https://telegra.ph/Tesla-Model-3-Highland-vs-Model-Y-Juniper-The-2025-Buyers-Dilemma-03-09
29,Cybertruck by the Numbers: Every Spec You Need to Know,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Cybertruck-by-the-Numbers-Every-Spec-You-Need-to-Know-03-09,2026-03-08T20:51:58.950824,https://telegra.ph/Cybertruck-by-the-Numbers-Every-Spec-You-Need-to-Know-03-09
30,Tesla Range Compared: Which Model Goes the Farthest on a Single Charge?,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Tesla-Range-Compared-Which-Model-Goes-the-Farthest-on-a-Single-Charge-03-09,2026-03-08T20:52:01.840286,https://telegra.ph/Tesla-Range-Compared-Which-Model-Goes-the-Farthest-on-a-Single-Charge-03-09
1,syncedreview.com,https://syncedreview.com/2024/09/09/microsofts-fully-pipelined-distributed-transformer-processes-16x-sequence-length-with-extreme-hardware-efficiency/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T20:52:08.707226,重定向到: https://syncedreview.com/2024/09/09/microsofts-fully-pipelined-distributed-transformer-processes-16x-sequence-length-with-extreme-hardware-efficiency/comment-page-4/#comment-496472
2,pixel77.com,https://pixel77.com/typography-rules-technique/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T20:52:13.797552,重定向到: https://pixel77.com/typography-rules-technique/#comment-235303
3,greenerideal.com,https://greenerideal.com/wellness/disconnect-to-reconnect-connecting-with-nature-in-the-digital-age,blog_comment,dofollow,auto_comment,failed,,2026-03-08T20:52:20.146763,找不到 comment_post_ID
4,blogs.ucl.ac.uk,https://blogs.ucl.ac.uk/brits/2014/06/01/sales-growth-curves/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:00.865254,HTTP 500
5,digitalwellbeing.org,https://digitalwellbeing.org/five-reasons-why-chatgpt-is-the-future-of-digital-mental-health-support/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:09.107294,重复评论
6,pv-magazine.com,https://www.pv-magazine.com/2022/01/15/the-weekend-read/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:12.444344,重复评论
7,premierchess.com,https://premierchess.com/uncategorized/is-chess-a-sport-an-introduction-of-chess-in-and-within-the-sports-world,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:19.146289,HTTP 403
8,proofreadanywhere.com,https://proofreadanywhere.com/get-paid-to-proofread/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:21.345074,找不到评论表单
9,ride.guru,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:26.178431,找不到 comment_post_ID
10,notsowimpyteacher.com,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:31.665631,重复评论
11,reneeroaming.com,https://www.reneeroaming.com/new-england-fall-road-trip,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:34.324974,重复评论
12,pinkcaddytravelogue.com,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:36.030276,找不到评论表单
13,blogs.uww.edu,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:38.384501,找不到评论表单
14,advicefromatwentysomething.com,https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:40.974264,异常: 404 Client Error: Not Found for url: https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity/
